Curation	Scientist	Institution	Language of submission	Date of submission	Crop	Trait ID	Trait	Entity	Attribute	Trait synonyms	Trait abbreviations	Trait description	Trait class	Trait status	Trait Xref	Method ID	Method	Method description	Formula	Method class	Method reference	Scale id	Scale name	Scale class	Decimal places	Lower limit	Upper limit	Scale Xref	Category 1	Category 2	Category 3	Category 4	Category 5	Category 6	Category 7	Category 8	Category 9	Category 10	Category 11	Category 12	Category 13	Variable ID	Variable name	Variable synonyms	Context of use	Growth stage	Variable status	Variable Xref	
		IRRI	EN		Rice	CO_320:0000037	apiculus color	Apiculus of lemma	Colour		"ApCol, APCO"	Color of the apiculus of the lemma 	Morphological		"TO:0000140, IRIS:1086"	CM_320:0000426	immature apiculus color examination	Examine the colour of the apiculus of immature lemmas against a colour chart or colour-accurate photographs of references 		Estimation	"IRIS:654, IRIS_SCALE:657, RD:7.4.6, UPOV:37"	CS_320:0000500	immature apiculus color IRRI scale	Nominal					1= 010= White	2= 020= Straw	3= 052= Brown (tawny)	4= 060= Green	5= 070= Red	6= 071= Red apex	7= 080= Purple	8= 087= Purple apex	9= 100= Black					CV_320:0000635	ApCol_ImmatEst_IRRI1to9	APC				"IRIS:654, IRIS_SCALE:657, RD:7.4.6"	
		IRRI	EN		Rice	CO_320:0000037	apiculus color	Apiculus of lemma	Colour		"ApCol, APCO"	Color of the apiculus of the lemma 	Morphological		"TO:0000140, IRIS:1086"	CM_320:0000522	Mature apiculus color examination	Examine the colour of the apiculus of maturing lemmas against a colour chart or colour-accurate photographs of references		Estimation	"IRIS:655, IRISSCALE:658, RD:7.5.8, IRIS:320, IRIS_SCALE:235,  SES:115"	CS_320:0000509	apiculus color scale mature	Nominal					1= 010= White	2= 020= Straw	3= 052= Brown (tawny)	4= 060= Green	5= 070= Red	6= 071= Red apex	7= 080= Purple	8= 087= Purple apex	9= 100= Black					CV_320:0000636	ApCol_MatEst_IRRI1to9	APC				"IRIS:655, IRISSCALE:658, RD:7.5.8"	
		IRRI	EN		Rice	CO_320:0000037	apiculus color	Apiculus of lemma	Colour		"ApCol, APCO"	Color of the apiculus of the lemma 	Morphological		"TO:0000140, IRIS:1086"	CM_320:0000522	Mature apiculus color examination	Examine the colour of the apiculus of maturing lemmas against a colour chart or colour-accurate photographs of references		Estimation	"IRIS:655, IRISSCALE:658, RD:7.5.8, IRIS:320, IRIS_SCALE:235,  SES:115"	CS_320:0000510	apiculus color SES scale	Nominal					1= White	2= Straw	3= Brown (tawny)	4= Red	5= Red apex	6= Purple	7= Purple apex							CV_320:0000637	ApCol_MatEst_SES1to7	APC				"IRIS:320, IRIS_SCALE:235,  SES:115"	
		IRRI	EN		Rice	CO_320:0000486	apiculus shape	Apiculus of lemma	Shape		ApSh	Shape of the apiculus of the lemma	Morphological			CM_320:0000523	apiculus shape examination	"Examine the shape (pointed, curved) of the apiculus"		Estimation	RD:7.5.9	CS_320:0000511	apiculus shape scale	Nominal					1= Pointed	2= Curved												CV_320:0000638	ApSh_Est_1to2	APSH				RD:7.5.9	
		IRRI	EN		Rice	CO_320:0000487	auricle anthocyanin	Auricle	Anthocyanin content		AurShp	"Describes the purplish pigmentation, if any, attributable to anthocyanin on the auricles"	Morphological			CM_320:0000524	auricle anthocyanin presence	Estimate the presence/absence of purplish pigmentation attributable to anthocyanin on the auricles 		Estimation	UPOV:9	CS_320:0000512	auricle anthocyanin presence scale	Ordinal					1= Absent	9= Present												CV_320:0000639	AurShp_Est_1to9					UPOV:9	
		IRRI	EN		Rice	CO_320:0000029	auricle color	Auricle	Colour		"AurCol, AUCO"	Color of the auricle 	Morphological		"TO:0000294, IRIS:1078"	CM_320:0000254	auricle color examination	Examine the colour of the auricles against a colour chart or colour-accurate photographs of references.		Estimation	"IRIS:653, IRIS_SCALE:656, RD:7.3.11"	CS_320:0000255	auricle color scale	Nominal					0= 000= Absent (no auricles)	1= 011= Whitish	2= 062= Yellowish green	3= 080= Purple	4= 081= Light purple	5= 084= Purple lines								CV_320:0000640	AurCol_Est_1to5	AC				"IRIS:653, IRIS_SCALE:656, RD:7.3.11"	
		IRRI	EN		Rice	CO_320:0000036	awn color	Awn	Colour	awn colour	"AwCol, AWCO"	"Colour of the awns, if present "	Morphological		"TO:0000141, IRIS:1085"	CM_320:0000290	awn color examination  immature	Examine the colour of the awns after anthesis against a colour chart or colour-accurate photographs of references.		Estimation	"IRIS:319, IRIS_SCALE:223, SES:114, RD:7.4.10, UPOV:33"	CS_320:0000291	awn color scale  immature IRRI	Nominal					0= 000= Absent (awnless)	1= 011 Whitish	2= 020 Straw	3= 040 Gold	4= 052 Brown (tawny)	5= 061 Light green	6= 070 Red	7= 080 Purple	8= 100 Black					CV_320:0000641	AwCol_ImmatEst_IRRI0to8	"ANC, AWCO"				RD:7.4.10	
		IRRI	EN		Rice	CO_320:0000036	awn color	Awn	Colour	awn colour	"AwCol, AWCO"	"Colour of the awns, if present "	Morphological		"TO:0000141, IRIS:1085"	CM_320:0000290	awn color examination  immature	Examine the colour of the awns after anthesis against a colour chart or colour-accurate photographs of references.		Estimation	"IRIS:319, IRIS_SCALE:223, SES:114, RD:7.4.10, UPOV:33"	CS_320:0000490	awn color scale immature SES	Nominal					0= 000= Absent (awnless)	1= 020 Straw	2= 040 Gold	3= 052 Brown (tawny)	4= 070 Red	5= 080 Purple	6= 100 Black							CV_320:0000642	AwCol_ImmatEst_SES0to6	"ANC, AWCO"				"IRIS:319, IRIS_SCALE:223, SES:114"	
		IRRI	EN		Rice	CO_320:0000036	awn color	Awn	Colour	awn colour	"AwCol, AWCO"	"Colour of the awns, if present "	Morphological		"TO:0000141, IRIS:1085"	CM_320:0000290	awn color examination  immature	Examine the colour of the awns after anthesis against a colour chart or colour-accurate photographs of references.		Estimation	"IRIS:319, IRIS_SCALE:223, SES:114, RD:7.4.10, UPOV:33"	CS_320:0000491	awn color scale anthesis UPOV	Nominal					1= light gold	2= gold	3= brown	4= reddish brown	5= light red	6= red	7= light purple	8= purple	9= black					CV_320:0000643	AwCol_ImmatEst_UPOV1to9	"ANC, AWCO"				UPOV:33	
		IRRI	EN		Rice	CO_320:0000036	awn color	Awn	Colour	awn colour	"AwCol, AWCO"	"Colour of the awns, if present "	Morphological		"TO:0000141, IRIS:1085"	CM_320:0000525	awn color examination mature UPOV / IRRI	Examine the colour of the awns after harvest against a colour chart or colour-accurate photographs of references.		Estimation	"UPOV:38, IRIS:652, IRIS_SCALE:655, RD:7.5.3"	CS_320:0000513	awn color scale mature UPOV	Nominal					1= straw	2= gold	3= brown	4= reddish brown	5= light red	6= red	7= light purple	8= purple	9= black					CV_320:0000644	AwCol_MatEst_UPOV1to9	"ANC, AWCO"				UPOV:38	
		IRRI	EN		Rice	CO_320:0000036	awn color	Awn	Colour	awn colour	"AwCol, AWCO"	"Colour of the awns, if present "	Morphological		"TO:0000141, IRIS:1085"	CM_320:0000525	awn color examination mature UPOV / IRRI	Examine the colour of the awns after harvest against a colour chart or colour-accurate photographs of references.		Estimation	"UPOV:38, IRIS:652, IRIS_SCALE:655, RD:7.5.3"	CS_320:0000514	awn color scale mature IRRI	Nominal					0= 000= Absent (awnless)	1= 020 Straw	2= 040 Gold	3= 052 Brown (tawny)	4= 070 Red	5= 080 Purple	6= 100 Black							CV_320:0000645	AwCol_MatEst_IRRI0to6	"ANC, AWCO"				"IRIS:652, IRIS_SCALE:655, RD:7.5.3"	
		IRRI	EN		Rice	CO_320:0000488	awn distribution	Awn	Distribution		AwDist	The proportion and distribution of awned spikelets on a panicle	Morphological			CM_320:0000526	Awn distribution observation	Observe the distribution of awned spikelets along a panicle 		Estimation	"RD:7.4.9, UPOV:34"	CS_320:0000515	Awn distribution scale	Nominal					0= Absent	1= Tip only	2= Upper quarter only	3= Upper half only	4= Upper three quarters only	5= Whole length								CV_320:0000646	AwDist_Est_1to5	AWDIST				"RD:7.4.9, UPOV:34"	
		IRRI	EN		Rice	CO_320:0000146	awn length	Awn	Length		"AwLng, AWLT"	Length of awns 	Morphological		"TO:0000072, IRIS:1063"	CM_320:0000236	average awn length	Calculate the average length of the awns on 10 randomly selected spikelets 		Computation	"IRIS:597, RD:7.4.11"	CS_320:0000237	mm	Numerical																		CV_320:0000647	AwLng_Av_mm	ANL				"IRIS:597, RD:7.4.11"	
		IRRI	EN		Rice	CO_320:0000146	awn length	Awn	Length		"AwLng, AWLT"	Length of awns 	Morphological		"TO:0000072, IRIS:1063"	CM_320:0000527	longest awn length	Cultivated species: measure the length of the longest awn 		Measurement	"RD:7.4.11, UPOV:35"	CS_320:0000238	awn length scale cult	Ordinal					0= None awnless	1= Very short <5 mm	3= Short ~8 mm	5= Intermediate ~15 mm	7= Long ~30 mm	9= Very long >40 mm								CV_320:0000648	AwLng_CultMax_0to9	ANL				"RD:7.4.11, UPOV:35"	
		IRRI	EN		Rice	CO_320:0000146	awn length	Awn	Length		"AwLng, AWLT"	Length of awns 	Morphological		"TO:0000072, IRIS:1063"	CM_320:0000548	average awn length - wild	Wild species: calculate the average length of the awns on 10 randomly selected spikelets 		Computation	RD:7.4.11	CS_320:0000484	awn length scale wild	Ordinal					0= None awnless	1= Very short <5 mm	3= Short ~8 mm	5= Intermediate ~15 mm	7= Long ~30 mm	9= Very long >40 mm								CV_320:0000649	AwLng_WildAv_0to9	ANL				RD:7.4.11	
		IRRI	EN		Rice	CO_320:0000156	awn presence	Awn	Presence		"AwPres, AWPR"	Presence of awns	Morphological		"IRIS:1548, IRIS:1533, TO:0002734"	CM_320:0000288	awn presence	Observe the presence or absence of awns on maturing spikelets 		Estimation	UPOV:32	CS_320:0000289	awn presence scale UPOV	Ordinal					1= Absent	9= present												CV_320:0000650	AwPres_Est_0to9	ANP				UPOV:32	
		IRRI	EN		Rice	CO_320:0000156	awn presence	Awn	Presence		"AwPres, AWPR"	Presence of awns	Morphological		"IRIS:1548, IRIS:1533, TO:0002734"	CM_320:0000528	awn presence on wild species	"Wild species: while the spikelets are maturing, observe the presence of awns "		Estimation	RD:7.4.8	CS_320:0000516	awn presence scale wild	Ordinal					0= Absent	1= Partly awned	2= Fully awned											CV_320:0000651	AwPres_WildEst_0to2	ANP				RD:7.4.8	
		IRRI	EN		Rice	CO_320:0000144	awn thickness	Awn	Thickness		"AwThk, AWTH"	Thickness of awns 	Morphological		"TO:0002719, IRIS:1531"	CM_320:0000292	Average awn thickness	"Measure the average thickness of 10 representative spikelets, 1 cm from the apiculus of the spikelet. "		Computation	RD:7.4.12	CS_320:0000293	mm	Numerical																		CV_320:0000652	AwThk_Av_mm	ANT				RD:7.4.12	
		IRRI	EN		Rice	CO_320:0000015	awning	Awn	Type	awn type	AwType	"Presence, distribution and length of awns  "	Morphological	Obsolete	IRIS:1063	CM_320:0000424	awning assessment	"Estimate the presence, distribution and length of awns "		Estimation	"IRIS:205, SES:113"	CS_320:0000425	awning scale SES	Nominal					0= Absent	1= Short and partly awned	5= Short and fully awned	7= Long and partly awned	9= Long and fully awned 									CV_320:0000653	AwType_Est_0to9	AN			Obsolete	"IRIS:205, SES:113"	
		IRRI	EN		Rice	CO_320:0000173	bacterial blight damage	Bacterial blight	Damage	bacterial blight	BBDam	"The type and severity of bacterial blight symptoms on leaves caused by the bacterial pathogen Xanthomonas oryzae pv. oryzae. Symptoms: lesions usually start near the leaf tip or leaf margins or both, and extend down the outer edge(s). Young lesions are pale green to grayish green, later turning yellow to gray (dead) with time. In very susceptible varieties, lesions may extend to the entire leaf length into the leaf sheath "	Biotic stress		IRIS:1101	CM_320:0000348	bacterial blight damage estimation greenhouse	Estimate the % leaf area diseased in a greenhouse test 		Estimation	"IRIS:334, SES:35"	CS_320:0000349	bacterial blight damage scale greenhouse	Ordinal					1= No disease observed	2= Less than 1%	3= 1-3%	4= 4-5%	5= 11-15%	6= 16-25%	7= 26-50%	8= 51-75%	9= 76-100%					CV_320:0000654	BBDam_EstGH_1to9	BB				"IRIS:334, SES:35"	
		IRRI	EN		Rice	CO_320:0000173	bacterial blight damage	Bacterial blight	Damage	bacterial blight	BBDam	"The type and severity of bacterial blight symptoms on leaves caused by the bacterial pathogen Xanthomonas oryzae pv. oryzae. Symptoms: lesions usually start near the leaf tip or leaf margins or both, and extend down the outer edge(s). Young lesions are pale green to grayish green, later turning yellow to gray (dead) with time. In very susceptible varieties, lesions may extend to the entire leaf length into the leaf sheath "	Biotic stress		"TO:0000175, IRIS:1101"	CM_320:0000529	bacterial blight race 1 damage estimation field	Estimate the % leaf area diseased in a field test where the pathogen is known to be race 1 		Estimation	"IRIS:44, SES:35"	CS_320:0000517	bacterial blight race 1 damage scale field	Ordinal					1= 1-5%	3= 6-12%	5= 13-25%	7= 26-50%	9= 51-100%									CV_320:0000655	BBDam_EstFld1_1to9	BB				"IRIS:44, SES:35"	
		IRRI	EN		Rice	CO_320:0000173	bacterial blight damage	Bacterial blight	Damage	bacterial blight	BBDam	"The type and severity of bacterial blight symptoms on leaves caused by the bacterial pathogen Xanthomonas oryzae pv. oryzae. Symptoms: lesions usually start near the leaf tip or leaf margins or both, and extend down the outer edge(s). Young lesions are pale green to grayish green, later turning yellow to gray (dead) with time. In very susceptible varieties, lesions may extend to the entire leaf length into the leaf sheath "	Biotic stress		"TO:0000175, IRIS:1101"	CM_320:0000530	bacterial blight race 2 damage estimation field	Estimate the % leaf area diseased in a field test where the pathogen is known to be race 2 		Estimation	"IRIS:119, SES:35"	CS_320:0000518	bacterial blight race 2 damage scale field	Ordinal					1= 1-5%	3= 6-12%	5= 13-25%	7= 26-50%	9= 51-100%									CV_320:0000656	BBDam_EstFld2_1to9	BB				"IRIS:119, SES:35"	
		IRRI	EN		Rice	CO_320:0000173	bacterial blight damage	Bacterial blight	Damage	bacterial blight	BBDam	"The type and severity of bacterial blight symptoms on leaves caused by the bacterial pathogen Xanthomonas oryzae pv. oryzae. Symptoms: lesions usually start near the leaf tip or leaf margins or both, and extend down the outer edge(s). Young lesions are pale green to grayish green, later turning yellow to gray (dead) with time. In very susceptible varieties, lesions may extend to the entire leaf length into the leaf sheath "	Biotic stress		"TO:0000175, IRIS:1101"	CM_320:0000531	bacterial blight damage estimation field	Estimate the % leaf area diseased in a field test 		Estimation	"IRIS:335, SES:35"	CS_320:0000519	bacterial blight damage scale field	Ordinal					1= 1-5%	3= 6-12%	5= 13-25%	7= 26-50%	9= 51-100%									CV_320:0000657	BBDam_EstFld_1to9	BB				"IRIS:335, SES:35"	
		IRRI	EN		Rice	CO_320:0000174	bacterial leaf streak damage	Bacterial leaf streak	Damage	"bacterial leaf streak, bacterial leaf blight, leaf blight"	BLS	The type and severity of bacterial leaf streak symptoms on leaves caused by the bacterial pathogen Xanthomonas oryzae pv. oryzicola. Symptoms: linear lesions with small bacterial exudates 	Biotic stress		IRIS:1102	CM_320:0000532	bacterial leaf streak damage estimation	Estimate the type and severity of damage to leaves 		Estimation	"IRIS:52, SES:33"	CS_320:0000520	bacterial leaf streak damage scale	Ordinal					0= No lesions observed	1= Small brown specks of pinpoint size or large brown specks without sporulating center on the lower leaves	"3= Lesion type is the same as in 1, but a significant number of lesions are on the upper leaves"	5= Typical blast lesions infecting 4-10% of the leaf area	7= Typical blast lesions infecting 26-50% of the leaf area	9= More than 75% of leaf area affected								CV_320:0000658	BLS_Est_0to9	BLS				"IRIS:52, SES:33"	
		IRRI	EN		Rice	CO_320:0000195	bakanae disease	bakanae disease	Incidence	bakanae disease	BakInc	"In of bakanae disease symptoms caused by Gibberella fujikuroi. Symptoms: the plant elongates abnormally, has few tillers, and usually dies before producing grains "	Biotic stress		"TO:0000418, IRIS:1124"	CM_320:0000533	bakanae disease incidence estimation	estimate the proportion of tillers that are infected 		Estimation	"IRIS:182, SES:41"	CS_320:0000521	bakanae disease incidence scale	Ordinal					0= No disease observed	1= Less than 1%	2=	3=	4=	5= 1-25%	6=	7=	8=	9= 26-100% 				CV_320:0000659	BakInc_Est_1to9	BakInc				"IRIS:182, SES:41"	
	TTC-GRC	IRRI	EN		Rice	CO_320:0000489	basal leaf sheath anthocyanin	Basal leaf sheath	Anthocyanin content		BLSAnth	"Describes the purplish pigmentation, if any, attributable to anthocyanin on the outer surface of the basal leaf sheath"	Morphological			CM_320:0000534	basal leaf sheath anthocyanin presence	Observe the presence and intensity of any purplish colour that can be attributed to anthocyanin on the outer surface of the basal leaf sheath		Estimation	"UPOV:6, RD:7.3.4, UPOV:6+7"	CS_320:0000522	basal leaf sheath anthocyanin presence scale	Ordinal					1= Absent	9= Present												CV_320:0000660	BLSAnth_Est_1to9	BLSCO_ANTH				UPOV:6	
		IRRI	EN		Rice	CO_320:0000489	basal leaf sheath anthocyanin	Basal leaf sheath	Anthocyanin content		BLSAnth	"Describes the purplish pigmentation, if any, attributable to anthocyanin on the outer surface of the basal leaf sheath"	Morphological			CM_320:0000534	basal leaf sheath anthocyanin presence	Observe the presence and intensity of any purplish colour that can be attributed to anthocyanin on the outer surface of the basal leaf sheath		Estimation	"UPOV:6, RD:7.3.4, UPOV:6+7"	CS_320:0000523	basal leaf sheath anthocyanin scale	Ordinal					0= Absent	1= Very weak	3= Weak	5= Medium	7= Strong									CV_320:0000661	BLSAnth_Est_1to7	BLSCO_ANTH				"RD:7.3.4, UPOV:6+7"	
		IRRI	EN		Rice	CO_320:0000023	basal leaf sheath color	Basal leaf sheath	Colour		"BLSCol, BLSCO"	Colour of the outer surface of the basal leaf sheath 	Morphological		"TO:0000367, IRIS:1073"	CM_320:0000246	basal leaf sheath color examination 1	Examine the colour of the outside of the basal leaf sheath against a colour chart or colour-accurate photographs of references.		Estimation	"IRIS:648, RD:7.3.3, SES:96, UPOV:2"	CS_320:0000247	basal leaf sheath color scale 1	Ordinal					1= 060= Green	2= 084= Green with purple lines	3= 081= Light purple	4= 080= Purple										CV_320:0000662	BLSCol_Est_1to4	BLSC_CO_1_4				"IRIS:648, RD:7.3.3, SES:96, UPOV:2"	
		IRRI	EN		Rice	CO_320:0000213	bird damage	Bird	Damage		BirdDam	The extent of damage caused by birds.  	Biotic stress		IRIS:1169	CM_320:0000535	bird damage incidence estimation	Estimate the proportion of panicles that are damaged by birds 		Estimation	"IRIS:206, SES:51"	CS_320:0000524	bird damage incidence scale	Ordinal					0= No damage observed	1= Less than 5%	5= 6-25%	9= 26-100%										CV_320:0000663	BirdDam_Est_1to9	BIRD_DAMAGE				"IRIS:206, SES:51"	
		IRRI	EN		Rice	CO_320:0000196	brown planthopper damage	brown planthopper	Damage	brown planthopper	BPHDam	The extent of damage caused by brown planthopper (Nilparvata lugens). Symptoms: Partial to pronounced yellowing and increasing severity of stunting. Extreme signs are wilting to death of plants. Infested areas in the field may be patchy 	Biotic stress		"TO:0000424, IRIS:1152"	CM_320:0000370	brown planthopper injury assessment greenhouse	Sow plants in a greenhouse with a uniform high population of brown planthoppers and observe the damage on the seedlings 		Estimation	"IRIS:273, SES:60"	CS_320:0000371	brown planthopper injury scale greenhouse	Ordinal					0= No damage	1= Very slight damage	3= First and 2nd leaves of most plants partially yellowing	5= Pronounced yellowing and stunting or about 10 to 25% of the plants wilting or dead and remaining plants severely stunted or dying	7= More than half of the plants wilting or dead.	9= All plants dead								CV_320:0000664	BPHDam_GH_0to9	BPH				"IRIS:273, SES:60"	
		IRRI	EN		Rice	CO_320:0000196	brown planthopper damage	brown planthopper	Damage	brown planthopper	BPHDam	The extent of damage caused by brown planthopper (Nilparvata lugens). Symptoms: Partial to pronounced yellowing and increasing severity of stunting. Extreme signs are wilting to death of plants. Infested areas in the field may be patchy 	Biotic stress		"TO:0000424, IRIS:1152"	CM_320:0000536	brown planthopper injury assessment field	"Observe the damage on the plants caused by brown planthopper. For a field test, use an augmented experimental design with a susceptible check replicated at intervals across the whole trial. The test is considered a valid test for resistance if the hopper population is uniformly distributed at a high level across the screening box, as indicated by hopper counts on the susceptible check. A minimum of the following hopper density on susceptible check is necessary: a. 10 hoppers/hill at 10-15 days after transplanting, b. 25 hoppers / hiII at maximum tillering, c. 100 hoppers/hill at early booting stage "		Estimation	SES:60	CS_320:0000525	brown planthopper injury scale field	Ordinal					0= No damage	1= slight yellowing of a few plants	3= Leaves partially yellow but with no hopperburn	"5= Leaves with pronounced yellowing and some stunting or wilting and 10-25% of plants with hopperburn, remaining plants severely stunted"	"7= More than half the plants wilting or with hopperburn, remaining plants severely stunted"	9= All plants dead								CV_320:0000665	BPHDam_Fld_0to9	BPH				SES:60	
		IRRI	EN		Rice	CO_320:0000196	brown planthopper damage	brown planthopper	Damage	brown planthopper	BPHDam	The extent of damage caused by brown planthopper (Nilparvata lugens). Symptoms: Partial to pronounced yellowing and increasing severity of stunting. Extreme signs are wilting to death of plants. Infested areas in the field may be patchy 	Biotic stress		"TO:0000424, IRIS:1152"	CM_320:0000537	brown planthopper biotype 1 injury assessment	"Sow plants in an enclosed cage or greenhouse with a uniform high population of biotype 1 of brown planthopper, and observe the damage on the seedlings  "		Estimation	"IRIS:39, SES:60"	CS_320:0000526	brown planthopper biotype 1 injury scale	Ordinal					0= No damage	1= Very slight damage	3= First and 2nd leaves of most plants partially yellowing	5= Pronounced yellowing and stunting or about 10 to 25% of the plants wilting or dead and remaining plants severely stunted or dying	7= More than half of the plants wilting or dead.	9= All plants dead								CV_320:0000666	BPHDam_GH1_0to9	BPH				"IRIS:39, SES:60"	
